,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
19,20,FEMALE,42,returning,PERSONAL,Economy,821 miles,4 minutes,0.0 minutes,3,3,3,3,4,1,4,3,3,1,1,3,1,1,Neutral or Dissatisfied
20,21,Female,14,Returning,PERSONAL,Economy,853 miles,12 minutes,1.0 minutes,1,3,4,3,3,1,4,3,4,4,3,3,4,2,Neutral or Dissatisfied
21,22,Female,70,Returning,Personal,Economy,853 miles,0 minutes,0.0 minutes,4,1,4,4,2,1,4,1,4,2,1,1,1,1,Neutral or Dissatisfied
22,23,FEMALE,56,Returning,PERSONAL,ECONOMY,821 miles,0 minutes,0.0 minutes,4,3,4,4,3,5,3,3,4,3,5,4,5,5,Neutral or Dissatisfied
23,24,Male,77,returning,Business,Economy Plus,821 miles,0 minutes,0.0 minutes,5,5,1,4,5,4,4,5,4,4,2,4,4,3,Neutral or Dissatisfied
24,25,Male,51,Returning,Business,Business,3460 miles,0 minutes,2.0 minutes,3,3,5,4,3,5,5,4,4,2,5,3,5,5,Satisfied
25,26,male,47,Returning,business,Business,1676 miles,0 minutes,15.0 minutes,4,5,5,4,4,5,5,5,5,5,5,4,5,4,Satisfied
26,27,Male,50,Returning,Business, Business ,2168 miles,6 minutes,24.0 minutes,3,3,4,4,3,5,5,5,4,2,5,3,5,5,Satisfied
27,28,Male,58,Returning,Business,Business,2867 miles,0 minutes,0.0 minutes,5,0,4,5,4,3,5,3,5,5,3,0,3,3,Satisfied
28,29,male,40,Returning,business, Business ,3734 miles,0 minutes,52.0 minutes,4,4,4,4,4,5,4,5,3,2,5,4,5,5,Satisfied
29,30,Male,48,Returning,business, Business ,3088 miles,0 minutes,12.0 minutes,4,5,3,4,4,4,4,4,3,3,4,4,4,4,Satisfied
30,31,male,35, First-time ,Business, Business ,212 miles,0 minutes,0.0 minutes,2,2,5,2,1,4,2,5,2,2,4,2,2,5,Neutral or Dissatisfied
31,32,male,21,First-time,Business,Economy,173 miles,0 minutes,0.0 minutes,0,4,3,4,4,5,3,5,3,3,4,4,3,4,Satisfied
32,33,Female,33, First-time ,business,Business,173 miles,22 minutes,28.0 minutes,2,2,5,2,5,3,2,3,2,2,5,2,2,5,Neutral or Dissatisfied
33,34,Female,48,Returning,Business,Business,173 miles,0 minutes,0.0 minutes,5,0,5,5,4,5,4,5,4,3,5,0,5,5,Satisfied
34,35,male,39,returning,Business, Business ,1672 miles,23 minutes,17.0 minutes,2,2,5,4,2,3,5,4,5,5,3,2,3,5,Satisfied
35,36,FEMALE,42,Returning,business,Business,2884 miles,0 minutes,0.0 minutes,2,5,3,4,5,5,5,5,4,2,5,5,5,5,Satisfied
36,37,FEMALE,54,returning,Business,Business,212 miles,12 minutes,26.0 minutes,4,4,5,5,4,4,4,4,4,5,4,4,4,5,Satisfied
37,38,FEMALE,51,Returning,business, Business ,215 miles,0 minutes,0.0 minutes,4,4,4,4,4,5,5,4,3,3,5,4,5,5,Satisfied
38,39,FEMALE,46,Returning,Business, Business ,67 miles,0 minutes,0.0 minutes,3,3,5,5,3,4,4,4,5,4,4,3,4,4,Satisfied
39,40,Male,51,Returning,business,Business,212 miles,0 minutes,0.0 minutes,2,2,3,4,2,5,4,4,5,2,5,2,5,4,Satisfied
40,41,FEMALE,54,Returning,Business,Business,1554 miles,59 minutes,70.0 minutes,2,2,3,4,2,4,4,4,5,2,4,2,4,4,Satisfied
41,42,Female,45,returning,Business, Business ,108 miles,0 minutes,0.0 minutes,4,4,5,5,4,4,4,4,3,3,4,4,4,5,Satisfied
42,43,Female,54,Returning,Business,Business,1584 miles,0 minutes,8.0 minutes,2,2,4,4,2,4,4,4,4,4,4,2,4,4,Satisfied
43,44,Male,51,Returning,Business, Business ,2077 miles,0 minutes,1.0 minutes,1,4,5,5,4,5,5,5,4,2,5,4,5,5,Satisfied
44,45,male,56,Returning,business,Business,173 miles,30 minutes,14.0 minutes,5,0,4,5,3,4,4,3,5,2,4,0,4,3,Satisfied
45,46,FEMALE,23, First-time ,Business,Economy,173 miles,16 minutes,13.0 minutes,0,3,3,3,1,3,4,2,4,4,4,3,4,5,Neutral or Dissatisfied
46,47,Male,24,First-time,Business,Business,108 miles,0 minutes,0.0 minutes,4,0,5,4,4,4,2,2,4,4,5,0,4,5,Satisfied
47,48,Female,40, First-time ,Business, Business ,212 miles,29 minutes,41.0 minutes,3,3,2,3,3,1,4,2,5,5,2,3,5,3,Neutral or Dissatisfied
48,49,Male,20, First-time ,Business,Economy,108 miles,0 minutes,29.0 minutes,5,4,5,4,1,5,3,4,5,5,4,4,5,5,Neutral or Dissatisfied
49,50,male,27,First-time,Business,Business,108 miles,0 minutes,0.0 minutes,4,4,5,4,4,3,5,4,5,5,5,4,5,4,Satisfied
50,51,male,44,Returning,Business,Business,1859 miles,0 minutes,0.0 minutes,2,4,3,5,2,5,5,5,4,5,5,2,5,5,Satisfied
51,52,FEMALE,20,First-time,Business,Economy,67 miles,2 minutes,10.0 minutes,0,4,3,4,1,4,5,5,5,5,4,4,5,5,Neutral or Dissatisfied
52,53,Male,37, First-time ,Business,Business,212 miles,4 minutes,1.0 minutes,3,3,3,3,4,4,1,2,3,3,5,2,3,5,Neutral or Dissatisfied
53,54,Male,40,returning,Business, Business ,2853 miles,0 minutes,0.0 minutes,3,3,5,5,3,4,4,4,5,2,4,3,4,4,Satisfied
54,55,male,36,Returning,business, Business ,3655 miles,40 minutes,71.0 minutes,1,1,4,3,1,3,3,3,2,1,3,1,3,1,Neutral or Dissatisfied
55,56,FEMALE,56,Returning,Business,Business,2485 miles,0 minutes,0.0 minutes,2,2,5,5,2,4,4,5,3,5,4,2,4,5,Satisfied
56,57,FEMALE,56,Returning,business,Business,67 miles,0 minutes,0.0 minutes,1,1,3,4,1,5,4,5,4,2,5,1,5,4,Satisfied
57,58,Female,43,returning,business,Business,2199 miles,0 minutes,0.0 minutes,5,0,4,4,1,5,5,5,3,4,5,0,5,5,Satisfied
58,59,Female,41,returning,Business,Business,3997 miles,1 minutes,0.0 minutes,1,1,5,4,1,4,5,4,4,4,4,1,4,5,Satisfied
59,60,Male,57,Returning,business, Business ,3392 miles,19 minutes,34.0 minutes,1,1,3,5,1,4,5,4,5,5,4,1,4,5,Satisfied
60,61,male,42,returning,Business,Business,3391 miles,0 minutes,0.0 minutes,3,3,5,5,3,4,4,4,3,2,4,3,4,5,Satisfied
61,62,Male,31,returning,Business,Economy,173 miles,151 minutes,186.0 minutes,5,5,2,2,5,4,2,3,2,2,3,2,1,4,Neutral or Dissatisfied
62,63,FEMALE,37,Returning,Business,Business,2423 miles,0 minutes,8.0 minutes,4,4,1,4,4,2,4,2,4,3,2,3,2,3,Neutral or Dissatisfied
63,64,Male,56,returning,Business, Business ,173 miles,0 minutes,3.0 minutes,1,1,5,5,1,3,4,4,5,5,3,1,3,5,Satisfied
64,65,male,24,First-time,business,ECONOMY,108 miles,0 minutes,0.0 minutes,0,0,3,0,1,5,5,5,5,5,5,0,5,4,Satisfied
65,66,Male,36,Returning,business,Business,173 miles,12 minutes,8.0 minutes,5,5,2,3,5,3,3,3,3,4,3,1,3,1,Neutral or Dissatisfied
66,67,Male,50,Returning,Business,Business,67 miles,0 minutes,0.0 minutes,4,4,4,4,4,5,5,5,5,2,5,4,5,5,Satisfied
67,68,Male,43,Returning,Business,Business,173 miles,0 minutes,0.0 minutes,5,5,2,3,5,2,3,2,4,4,2,4,2,4,Neutral or Dissatisfied
68,69,male,52,Returning,Business, Business ,212 miles,0 minutes,67.0 minutes,1,3,4,3,1,1,3,1,4,4,1,3,1,3,Neutral or Dissatisfied
69,70,Female,49,Returning,Business,Business,3213 miles,68 minutes,59.0 minutes,3,3,1,4,3,1,4,1,3,3,1,4,1,4,Neutral or Dissatisfied
70,71,FEMALE,47,First-time,business,Economy,173 miles,0 minutes,14.0 minutes,4,1,4,1,1,5,3,5,3,3,4,1,3,1,Neutral or Dissatisfied
71,72,male,53,returning,Business, Business ,3201 miles,7 minutes,24.0 minutes,2,2,3,3,2,2,3,1,1,3,2,3,2,3,Neutral or Dissatisfied
72,73,Male,70,Returning,Business,ECONOMY,173 miles,0 minutes,0.0 minutes,5,5,3,5,5,3,5,2,5,5,4,5,5,1,Satisfied
73,74,Female,25,First-time,business,ECONOMY,212 miles,10 minutes,1.0 minutes,2,3,1,3,4,1,3,2,4,4,4,3,4,3,Neutral or Dissatisfied
74,75,Female,23,First-time,business,ECONOMY,108 miles,0 minutes,0.0 minutes,5,1,5,1,2,4,2,2,2,2,2,2,2,4,Neutral or Dissatisfied
75,76,Male,55, First-time ,business,Economy,108 miles,0 minutes,0.0 minutes,0,4,4,4,5,5,5,2,4,4,2,5,4,5,Satisfied
76,77,FEMALE,72, First-time ,Business,Economy,67 miles,324 minutes,296.0 minutes,3,3,2,2,4,4,2,4,2,3,2,3,3,3,Neutral or Dissatisfied
77,78,Male,58,Returning,Personal,ECONOMY,173 miles,0 minutes,4.0 minutes,4,4,1,4,3,4,2,3,2,2,5,4,2,4,Satisfied
78,79,Female,70,Returning,Personal,Economy,108 miles,50 minutes,41.0 minutes,4,0,5,4,3,3,4,0,5,4,3,5,3,3,Satisfied
79,80,Female,46,returning,PERSONAL,Economy,173 miles,45 minutes,29.0 minutes,1,1,1,3,3,5,4,1,3,1,5,1,5,5,Neutral or Dissatisfied
80,81,Female,19,returning,Personal,ECONOMY,215 miles,0 minutes,0.0 minutes,3,2,5,2,3,5,1,2,1,1,5,2,1,2,Neutral or Dissatisfied
81,82,Male,39,Returning,Personal,ECONOMY,108 miles,0 minutes,7.0 minutes,2,1,2,1,4,3,2,1,2,2,4,1,2,4,Neutral or Dissatisfied
82,83,male,58,Returning,PERSONAL,Economy,215 miles,254 minutes,254.0 minutes,2,2,4,4,4,2,4,3,4,2,3,2,3,4,Neutral or Dissatisfied
83,84,FEMALE,9,returning,Personal,Economy,173 miles,0 minutes,0.0 minutes,3,5,1,5,5,3,3,4,3,3,3,5,3,3,Satisfied
84,85,Male,53,returning,PERSONAL,ECONOMY,173 miles,0 minutes,0.0 minutes,1,3,4,3,1,3,2,1,2,2,1,3,2,1,Neutral or Dissatisfied
85,86,FEMALE,27,Returning,PERSONAL,Economy,212 miles,0 minutes,13.0 minutes,0,3,5,3,4,3,1,4,1,1,5,3,1,5,Neutral or Dissatisfied
86,87,Male,65,Returning,PERSONAL,ECONOMY,67 miles,1 minutes,0.0 minutes,5,3,4,3,3,4,5,3,5,5,5,3,5,5,Neutral or Dissatisfied
87,88,Female,52,Returning,Personal,Economy,67 miles,2 minutes,0.0 minutes,5,2,5,4,1,1,4,2,4,3,1,2,1,1,Neutral or Dissatisfied
88,89,Female,53,Returning,PERSONAL,Economy,108 miles,0 minutes,0.0 minutes,2,0,1,4,4,1,3,0,3,3,1,2,1,1,Neutral or Dissatisfied
89,90,male,41,Returning,business,Business,2865 miles,72 minutes,78.0 minutes,2,4,4,4,2,5,4,5,3,3,5,2,5,5,Satisfied
90,91,Female,32,First-time,business,Business,173 miles,0 minutes,5.0 minutes,4,4,4,4,3,4,5,1,4,4,4,4,4,4,Neutral or Dissatisfied
91,92,Female,50,Returning,Business,Business,2035 miles,0 minutes,34.0 minutes,5,5,3,5,5,5,4,5,5,4,5,5,5,4,Satisfied
92,93,FEMALE,43,returning,Business,Business,3513 miles,101 minutes,123.0 minutes,2,2,2,3,2,1,3,1,1,2,1,1,1,1,Neutral or Dissatisfied
93,94,male,80,Returning,business,ECONOMY PLUS,108 miles,0 minutes,0.0 minutes,4,4,3,1,4,3,1,2,1,1,3,1,1,3,Neutral or Dissatisfied
94,95,Female,7,Returning,PERSONAL,Economy Plus,173 miles,18 minutes,35.0 minutes,5,0,3,0,2,5,2,2,2,2,5,2,2,5,Neutral or Dissatisfied
95,96,Female,34,Returning,PERSONAL,Economy Plus,173 miles,0 minutes,0.0 minutes,4,0,3,0,2,5,3,5,3,3,4,2,3,4,Neutral or Dissatisfied
96,97,FEMALE,18, First-time ,Business,Economy Plus,215 miles,0 minutes,0.0 minutes,5,3,2,3,3,1,1,4,1,1,5,3,1,1,Neutral or Dissatisfied
97,98,male,44,Returning,Business,Business,562 miles,0 minutes,11.0 minutes,4,4,3,4,4,4,5,4,5,3,4,4,4,4,Satisfied
98,99,FEMALE,52,returning,Business,Business,562 miles,27 minutes,18.0 minutes,5,5,4,4,5,4,5,4,3,3,4,5,4,4,Satisfied
99,100,FEMALE,23,First-time,Business,ECONOMY,562 miles,27 minutes,36.0 minutes,4,0,4,0,4,4,5,2,5,5,5,0,5,5,Satisfied
100,101,Male,44,Returning,Business,Business,2992 miles,0 minutes,0.0 minutes,1,1,3,4,1,4,4,4,3,5,4,1,4,4,Satisfied
101,102,Female,51,returning,Business,Business,1970 miles,0 minutes,0.0 minutes,3,3,4,4,3,4,4,5,4,2,4,3,4,4,Satisfied
102,103,male,44,Returning,Business,Business,1964 miles,0 minutes,0.0 minutes,1,1,3,4,1,4,5,4,5,4,4,1,4,4,Satisfied
103,104,Male,42,Returning,business,Business,3227 miles,0 minutes,0.0 minutes,3,1,3,4,3,4,4,4,5,3,4,3,4,4,Satisfied
104,105,FEMALE,55,returning,Business,Business,2639 miles,0 minutes,0.0 minutes,1,1,5,5,1,5,5,5,4,4,5,1,5,5,Satisfied
105,106,Male,24, First-time ,business, Business ,562 miles,96 minutes,95.0 minutes,0,4,3,4,2,5,4,4,5,5,4,4,5,5,Satisfied
106,107,Male,47,Returning,Business,Business,3477 miles,0 minutes,27.0 minutes,4,4,5,4,4,5,5,5,3,2,5,4,5,5,Satisfied
107,108,Male,43,returning,business, Business ,562 miles,45 minutes,51.0 minutes,3,3,2,4,3,4,3,4,1,1,4,4,4,4,Neutral or Dissatisfied
108,109,Female,72,Returning,Business,Business,1954 miles,60 minutes,145.0 minutes,1,3,1,1,1,5,1,3,1,1,4,1,4,2,Neutral or Dissatisfied
109,110,Female,27, First-time ,business,Business,562 miles,0 minutes,0.0 minutes,5,5,5,5,3,4,2,5,2,2,5,5,2,4,Satisfied
110,111,Female,39,Returning,Business,Business,2046 miles,104 minutes,122.0 minutes,2,2,5,5,2,4,5,5,3,3,4,2,4,4,Satisfied
111,112,Female,11, First-time ,business,Economy,562 miles,1 minutes,2.0 minutes,0,4,1,4,3,3,2,2,2,2,3,4,2,4,Neutral or Dissatisfied
112,113,Male,54,Returning,Business, Business ,3389 miles,32 minutes,40.0 minutes,2,5,3,4,2,4,4,4,3,2,4,4,4,4,Neutral or Dissatisfied
113,114,Female,51,returning,Business,Business,562 miles,0 minutes,15.0 minutes,3,3,4,4,3,2,4,3,3,1,2,2,2,2,Neutral or Dissatisfied
114,115,Female,12,First-time,Business,Business,562 miles,11 minutes,25.0 minutes,2,3,3,3,3,3,2,4,2,2,3,3,2,3,Neutral or Dissatisfied
115,116,Female,26,First-time,Business,Business,562 miles,0 minutes,8.0 minutes,2,2,1,2,3,1,4,1,3,3,3,2,3,3,Neutral or Dissatisfied
116,117,Male,39,Returning,Business,Business,1553 miles,0 minutes,0.0 minutes,4,4,5,3,4,5,3,5,5,1,5,4,5,4,Satisfied
117,118,Male,32,Returning,business,Business,562 miles,183 minutes,192.0 minutes,5,5,4,4,5,4,4,2,4,4,3,5,4,2,Satisfied
118,119,Female,37,Returning,Business,Economy,162 miles,0 minutes,21.0 minutes,1,1,3,2,1,3,2,4,2,2,3,2,2,3,Neutral or Dissatisfied
119,120,Male,40,Returning,Business,Business,3043 miles,38 minutes,29.0 minutes,2,2,1,4,2,1,4,1,2,3,1,4,1,4,Neutral or Dissatisfied
120,121,FEMALE,38,Returning,PERSONAL,Economy,562 miles,0 minutes,6.0 minutes,1,2,1,2,2,3,4,3,5,5,3,2,5,2,Neutral or Dissatisfied
121,122,male,17,returning,Personal,ECONOMY,562 miles,3 minutes,6.0 minutes,4,4,3,4,3,4,3,2,4,4,4,4,4,5,Neutral or Dissatisfied
122,123,FEMALE,33,Returning,Personal,ECONOMY,562 miles,30 minutes,41.0 minutes,3,1,1,1,4,2,4,5,4,4,3,1,4,3,Neutral or Dissatisfied
123,124,Female,7,Returning,Personal,Economy,562 miles,0 minutes,2.0 minutes,5,1,4,1,2,5,5,2,2,2,5,1,2,5,Neutral or Dissatisfied
124,125,Male,21,returning,Personal,Economy,562 miles,103 minutes,117.0 minutes,5,3,4,3,3,4,5,3,5,5,5,3,5,1,Neutral or Dissatisfied
125,126,Male,66,Returning,PERSONAL,Economy,562 miles,88 minutes,84.0 minutes,5,2,5,2,4,3,5,5,5,5,5,2,5,2,Neutral or Dissatisfied
126,127,FEMALE,68,Returning,Personal,Economy,562 miles,42 minutes,37.0 minutes,1,2,1,3,3,3,3,2,4,4,3,2,3,3,Neutral or Dissatisfied
127,128,Male,65,Returning,Personal,Economy,562 miles,7 minutes,15.0 minutes,1,2,1,2,4,1,4,1,4,4,3,2,4,4,Neutral or Dissatisfied
128,129,male,67,Returning,Personal,Economy,562 miles,0 minutes,0.0 minutes,2,4,1,4,4,4,2,3,2,2,3,4,2,4,Neutral or Dissatisfied
129,130,FEMALE,39,Returning,Business,Business,1868 miles,54 minutes,49.0 minutes,1,1,3,5,1,4,4,4,4,4,4,1,4,4,Satisfied
130,131,FEMALE,28,First-time,Business, Business ,562 miles,115 minutes,116.0 minutes,3,3,1,3,4,1,5,4,5,5,3,3,5,3,Neutral or Dissatisfied
131,132,male,59, First-time ,Business,Business,227 miles,11 minutes,5.0 minutes,2,2,4,2,3,4,2,3,2,2,5,2,2,4,Neutral or Dissatisfied
132,133,Female,26,First-time,Business, Business ,227 miles,38 minutes,44.0 minutes,3,3,2,3,3,2,4,1,3,3,3,3,3,3,Neutral or Dissatisfied
133,134,FEMALE,33,Returning,Business,Business,227 miles,56 minutes,57.0 minutes,1,1,4,4,1,5,5,5,5,5,5,1,5,5,Satisfied
134,135,Male,56,First-time,Business,Business,227 miles,0 minutes,0.0 minutes,3,3,5,3,1,4,3,3,2,2,5,3,2,4,Neutral or Dissatisfied
135,136,Female,43,Returning,Business,Business,2029 miles,4 minutes,15.0 minutes,2,2,4,5,2,4,4,4,4,2,4,2,4,4,Satisfied
136,137,Female,45,returning,Business,Business,227 miles,0 minutes,16.0 minutes,5,5,4,4,5,4,4,4,4,4,4,5,4,4,Satisfied
137,138,male,45,Returning,business,Business,2374 miles,0 minutes,0.0 minutes,2,2,3,5,2,4,4,4,5,2,4,2,4,4,Satisfied
138,139,Female,69,returning,Business, Business ,3261 miles,3 minutes,3.0 minutes,5,5,2,4,5,3,3,3,1,4,3,3,3,3,Neutral or Dissatisfied
139,140,Male,31,Returning,business,Business,3538 miles,0 minutes,5.0 minutes,4,4,4,4,4,4,4,5,4,4,5,4,4,4,Satisfied
140,141,FEMALE,55,returning,Business,Business,227 miles,7 minutes,1.0 minutes,4,4,3,4,4,4,4,4,4,3,4,4,4,4,Satisfied
141,142,Male,58,Returning,business, Business ,227 miles,0 minutes,0.0 minutes,2,4,4,5,2,4,5,4,4,3,4,2,4,4,Satisfied
142,143,Female,39,Returning,business,Business,227 miles,0 minutes,18.0 minutes,0,0,4,5,5,2,4,2,4,2,2,0,2,2,Satisfied
143,144,Female,41,Returning,Business, Business ,3002 miles,0 minutes,0.0 minutes,0,0,4,4,2,1,5,1,5,5,1,0,1,1,Satisfied
144,145,Male,16,returning,Business,Business,227 miles,265 minutes,260.0 minutes,1,1,4,4,1,2,4,4,4,3,3,4,4,4,Neutral or Dissatisfied
145,146,male,60,returning,business,Business,2371 miles,66 minutes,61.0 minutes,4,4,3,4,4,4,5,4,3,2,4,4,4,4,Satisfied
146,147,Female,47,Returning,Business,Business,1946 miles,117 minutes,136.0 minutes,1,1,2,2,1,1,2,4,2,2,2,2,4,4,Neutral or Dissatisfied
147,148,Female,54,Returning,Business,Business,227 miles,58 minutes,62.0 minutes,3,3,3,3,3,2,3,2,3,2,2,2,2,2,Neutral or Dissatisfied
148,149,Male,37,Returning,Business, Business ,3758 miles,41 minutes,50.0 minutes,3,3,3,3,3,2,2,2,1,4,2,2,2,2,Neutral or Dissatisfied
149,150,Male,21,First-time,Business,Economy,227 miles,166 minutes,185.0 minutes,1,2,3,3,3,3,3,4,3,2,2,2,4,4,Neutral or Dissatisfied
150,151,Male,36,Returning,Business,Business,1534 miles,11 minutes,19.0 minutes,1,5,4,5,5,5,5,5,5,2,5,5,5,5,Satisfied
151,152,Female,51,returning,business,Business,3424 miles,44 minutes,42.0 minutes,4,4,4,3,4,3,3,3,4,5,3,3,3,3,Neutral or Dissatisfied
152,153,Female,35,Returning,business,Business,227 miles,0 minutes,10.0 minutes,3,3,4,4,3,5,4,5,3,5,5,3,5,5,Satisfied
153,154,Female,41,Returning,business,Business,2731 miles,0 minutes,0.0 minutes,4,4,3,4,4,5,5,5,5,4,5,4,5,5,Satisfied
154,155,FEMALE,17,First-time,Business, Business ,227 miles,0 minutes,11.0 minutes,3,4,4,4,3,1,5,2,5,5,4,4,5,4,Neutral or Dissatisfied
155,156,Female,49,First-time,Business,Business,227 miles,4 minutes,9.0 minutes,2,2,2,2,3,1,5,5,3,3,3,2,3,4,Neutral or Dissatisfied
156,157,Male,60,Returning,Business,Business,3415 miles,0 minutes,0.0 minutes,3,3,3,3,3,1,4,2,1,1,1,1,1,1,Neutral or Dissatisfied
157,158,Male,22,First-time,business,ECONOMY,227 miles,0 minutes,0.0 minutes,4,1,3,1,3,3,2,2,2,2,4,1,2,3,Neutral or Dissatisfied
158,159,FEMALE,46,Returning,business,Business,227 miles,0 minutes,0.0 minutes,4,4,4,3,4,5,5,5,1,5,5,4,5,5,Satisfied
159,160,Female,42,returning,Personal,Economy,227 miles,55 minutes,59.0 minutes,4,2,5,4,2,4,5,2,4,4,4,2,4,3,Neutral or Dissatisfied
160,161,Male,20,returning,Personal,Economy,227 miles,49 minutes,63.0 minutes,5,2,4,2,5,3,5,2,5,5,4,2,5,5,Neutral or Dissatisfied
161,162,Male,14,returning,Personal,Economy,227 miles,0 minutes,0.0 minutes,5,0,3,0,1,1,5,2,5,5,4,3,5,5,Neutral or Dissatisfied
162,163,Female,64,Returning,Personal,ECONOMY,227 miles,6 minutes,0.0 minutes,4,2,3,5,3,2,4,2,3,5,2,2,2,2,Neutral or Dissatisfied
163,164,male,12,returning,Personal,Economy,227 miles,134 minutes,133.0 minutes,4,4,4,4,1,5,4,4,4,4,5,4,5,4,Neutral or Dissatisfied
164,165,Male,29,Returning,PERSONAL,ECONOMY,227 miles,52 minutes,56.0 minutes,5,0,3,0,3,4,2,5,2,2,5,2,2,5,Neutral or Dissatisfied
165,166,Female,44,Returning,PERSONAL,Economy,227 miles,31 minutes,25.0 minutes,3,0,3,4,1,4,2,0,3,2,4,2,4,4,Neutral or Dissatisfied
166,167,Female,66,Returning,Personal,Economy,227 miles,0 minutes,0.0 minutes,5,0,3,5,3,5,5,0,4,5,5,3,5,1,Neutral or Dissatisfied
167,168,male,37,Returning,Personal,Economy,227 miles,36 minutes,43.0 minutes,5,3,3,3,4,3,4,2,4,4,5,3,4,5,Neutral or Dissatisfied
168,169,Male,35,Returning,Personal,ECONOMY,227 miles,0 minutes,10.0 minutes,3,2,3,2,3,4,4,4,4,4,3,2,4,1,Neutral or Dissatisfied
169,170,Female,36,returning,Personal,Economy,227 miles,0 minutes,0.0 minutes,5,3,3,3,2,4,2,4,2,2,5,3,2,5,Neutral or Dissatisfied
170,171,FEMALE,49,Returning,Business,Business,1798 miles,15 minutes,12.0 minutes,4,4,3,4,4,5,5,5,3,5,5,4,5,5,Satisfied
171,172,Male,37,Returning,business,Business,227 miles,0 minutes,0.0 minutes,3,3,5,5,3,5,5,4,4,5,5,3,5,5,Satisfied
172,173,Female,57,Returning,Business,Business,227 miles,10 minutes,10.0 minutes,1,1,4,5,1,5,4,5,4,2,5,1,5,5,Satisfied
173,174,Female,39,returning,business, Business ,3822 miles,6 minutes,9.0 minutes,4,3,4,3,4,3,4,3,2,1,3,3,3,3,Neutral or Dissatisfied
174,175,Male,36,First-time,Business,Business,227 miles,0 minutes,0.0 minutes,2,2,5,2,3,3,5,4,5,5,4,2,5,4,Neutral or Dissatisfied
